0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55
0.098661 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.28944194 0.55472136
0.08750902 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.2680816 0.56085163
0.06911634 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13465306 0.13879791 0.14978874 0.15712902 0.16227154 0.16558419 0.15885794 0.14556812 0.13650833 0.13480549 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.56085163
0.06911634 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13463156 0.13888243 0.15777169 0.20028017 0.2648134 0.3493803 0.37450287 0.3730863 0.38959837 0.3982936 0.32692358 0.24248512 0.19495782 0.15640928 0.1392719 0.13522112 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.56085163
0.06911634 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13464083 0.13894881 0.16885385 0.23462567 0.35828018 0.5326927 0.7609697 0.91686565 0.9572265 0.9762308 0.9666791 0.95825434 0.8387068 0.65775895 0.47413343 0.3233781 0.21757565 0.15678254 0.13908185 0.13513574 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.56085163
0.06911634 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13557135 0.14929983 0.21481039 0.40741056 0.6470643 0.85270244 1.0697172 1.2682891 1.3931763 1.3559959 1.3374717 1.3174522 1.2938505 1.2054939 1.0187353 0.892838 0.74637717 0.54421353 0.31449535 0.19401628 0.14757833 0.13615936 0.13471471 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.56085163
0.06911634 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13695706 0.15868664 0.2755647 0.6212852 0.971026 1.1302315 1.2437471 1.4127133 1.5125418 1.6435862 1.5925891 1.4884173 1.4311471 1.3839328 1.2531104 1.1423522 1.0796554 0.9899711 0.87692004 0.6571133 0.4446159 0.24780774 0.16191182 0.13787432 0.13482225 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.56085163
0.06911634 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13676555 0.17448352 0.36683223 0.7165042 1.1072032 1.3286209 1.3731942 1.501624 1.6157255 1.6975929 1.7866125 1.6918243 1.5415639 1.4678167 1.3802087 1.2289028 1.1555446 1.1174179 1.0579951 0.9965881 0.90086776 0.77584857 0.5386909 0.29897273 0.16275015 0.13823536 0.13475604 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.56085163
0.06911634 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13464086 0.13622381 0.17070585 0.40782094 0.8598267 1.1818137 1.4378101 1.518163 1.5735859 1.7096934 1.8306092 1.8264883 1.8776178 1.697779 1.560769 1.4500467 1.3502083 1.2199016 1.2147439 1.157755 1.0963693 1.1021191 1.0228051 0.96847683 0.8237805 0.61618614 0.35646978 0.17649974 0.13802785 0.13493285 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.56085163
0.06911634 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.1352367 0.15682329 0.36013928 0.87639624 1.2962343 1.4391198 1.6685984 1.7455386 1.8681774 1.985157 2.0082214 1.9021472 1.8888774 1.7606088 1.5588392 1.4271605 1.3143337 1.2053419 1.2217827 1.1654025 1.1207479 1.0936664 1.0608315 1.0497271 1.0215716 0.8910863 0.67997664 0.36691707 0.17542203 0.13780934 0.13489854 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.13459976 0.56085163
