0 1 2 3 4 5 6 7 8 9 10 11 12 13
0.0980267 -0.028157357 -0.028157357 -0.028111545 -0.01129061 0.0635241 0.12634455 0.16068703 0.11830695 -0.0020307982 -0.027675133 -0.028157357 -0.028157357 -0.050205477
0.08875963 -0.045263015 -0.0450802 -0.01195688 0.053992532 0.12197272 0.073547 0.054847963 0.11424331 0.1352996 0.038223706 -0.043960415 -0.045263015 -0.08461224
0.08875963 -0.045323092 -0.029615086 0.03824278 0.17162424 -0.04832748 -0.5899737 -0.27649707 0.009478929 0.09212954 0.20539725 0.00981994 -0.045372747 -0.08463399
0.08875963 -0.044703454 0.019630298 0.14551061 -0.118728116 -0.64484775 -0.10315031 0.0805628 0.11664129 0.14033493 0.28203246 0.16738336 -0.042869665 -0.08463399
0.08875963 -0.03419576 0.038210068 -0.02818831 -0.73951465 0.020490725 0.0788028 0.09437935 0.16884857 0.20539725 0.23884276 0.30970827 -0.023860712 -0.08463399
0.08875963 -0.03695113 -0.04934214 -1.1062188 -0.06396292 0.07776453 0.024220612 0.03676048 0.11167012 0.20539725 0.21370226 0.27125698 -0.003294622 -0.08463399
0.08875963 -0.03196707 0.00048324018 -1.2676251 0.1945656 0.14994803 0.11416659 0.06473647 0.13964516 0.18756247 0.20539725 0.20539725 -0.006262771 -0.08463399
0.08875963 -0.023164913 0.019767918 -1.1817123 0.06985298 0.15539603 0.05135142 0.021031346 0.09850271 0.14937657 0.16882367 0.16604799 -0.008002706 -0.08463399
0.08875963 -0.06056655 -0.05921852 -0.3967469 -0.22727905 0.08240172 0.07136837 0.057102233 0.101760484 0.16380234 0.20539725 0.20539725 -0.007897569 -0.08463399
0.08875963 -0.05541239 -0.040526945 0.022741696 -0.44328654 -0.018810848 0.03470511 0.03924313 0.11082834 0.20539725 0.2219592 0.28663027 -0.018327594 -0.08463399
0.08875963 -0.04584317 -0.04314232 0.024503902 -0.06556753 -0.4148456 0.0051745344 0.09889409 0.16343318 0.1834443 0.20539725 0.3080758 -0.037645016 -0.08463399
0.08875963 -0.045323092 -0.054417167 -0.03509669 0.039425768 -0.18752527 -0.32165986 -0.020732023 0.055759057 0.1330949 0.47851318 0.0636487 -0.04543384 -0.08463399
0.08875963 -0.045323092 -0.045454536 -0.04902055 -0.004980414 0.046381846 0.04128109 0.054452993 0.1441392 0.33206323 0.18669343 -0.03955502 -0.045323092 -0.08463399
0.18376781 0.04706723 0.047193043 0.04668686 0.054109383 0.1105614 0.14274405 0.17930765 0.20954481 0.13555267 0.055619355 0.04716845 0.047193043 -0.00877451
