0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55
0.11498455 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.18900299 0.26068607
0.10339644 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.18304166 0.26228103
0.08258988 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.14019638 0.14070955 0.14114799 0.14200275 0.14226517 0.1419653 0.14100161 0.14010149 0.13992661 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.26228103
0.08258988 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.1401557 0.14134286 0.14432415 0.14712648 0.14810885 0.15011808 0.15046254 0.1502744 0.15025958 0.14848405 0.14616665 0.1445252 0.14226517 0.14063911 0.14003362 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.26228103
0.08258988 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13992661 0.1403446 0.14259072 0.1454457 0.14794701 0.15119822 0.15470508 0.15771252 0.16239087 0.1662968 0.17828351 0.18507098 0.16673544 0.15984282 0.1531086 0.14992997 0.14641935 0.14286183 0.14075822 0.140006 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.26228103
0.08258988 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13997251 0.14106229 0.14450702 0.14833045 0.15254521 0.15582843 0.16243303 0.2087153 0.28352416 0.3346515 0.36695877 0.40176958 0.40988752 0.35860372 0.32395947 0.26885688 0.19094439 0.15989153 0.15058151 0.1448357 0.14167212 0.14024305 0.13992661 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.26228103
0.08258988 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.14020476 0.14197049 0.14571527 0.15052502 0.15574114 0.16185755 0.2094982 0.33231443 0.407978 0.46013612 0.49006557 0.5172327 0.51722777 0.5143794 0.45652092 0.4501495 0.4027599 0.3580001 0.28489047 0.17637579 0.15481779 0.1471391 0.14311858 0.1406919 0.13997251 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.26228103
0.08258988 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.14010149 0.14228392 0.14692077 0.15240215 0.15884864 0.19389704 0.27681237 0.38832298 0.50940335 0.57753146 0.60238373 0.63101184 0.61011136 0.5917442 0.5896131 0.55163574 0.5171063 0.4566021 0.4358498 0.38734788 0.3296719 0.22634631 0.16196102 0.15009187 0.14325896 0.14102253 0.13992661 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.26228103
0.08258988 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13999307 0.14215738 0.14685085 0.15360752 0.16203073 0.23659521 0.33432674 0.43507114 0.55789626 0.70263785 0.711009 0.80695826 0.73454344 0.7175168 0.6869081 0.6903453 0.607921 0.5797972 0.53631353 0.50693595 0.46542192 0.3920331 0.34276602 0.24939603 0.17576474 0.1527088 0.14477496 0.14106229 0.13996091 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.26228103
0.08258988 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13997251 0.14137322 0.14593048 0.15343237 0.16412474 0.25099927 0.38465852 0.47427386 0.6485491 0.7877872 0.83161306 0.8779112 0.8889191 0.82842594 0.759249 0.71450466 0.68052125 0.6254196 0.5855176 0.55899936 0.53919244 0.52937365 0.45486584 0.39719486 0.3889876 0.2827884 0.17775917 0.15323962 0.14475086 0.14111622 0.140006 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.13987392 0.26228103
