0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
-0.9178744 -0.40501645 -0.39553565 -0.39553565 -0.39553565 -0.39553565 -0.39553565 -0.39553565 -0.39553565 -0.39553565 -0.39553565 -0.39569017 -0.39667645 -0.39659786 -0.3955326 -0.3950048 -0.39548418 -0.39553565 -0.39553565 -0.39553565 -0.39553565 -0.39553565 -0.39553565 -0.39553565 -0.39553565 -0.39553565 -0.39553565 -0.44421715
-0.83684033 -0.35656863 -0.36508676 -0.36508676 -0.36508676 -0.36508676 -0.36508676 -0.36508676 -0.36508727 -0.36606815 -0.3696125 -0.39421898 -0.5213197 -0.6388784 -0.6696376 -0.6152449 -0.4618844 -0.38451138 -0.36533087 -0.36507177 -0.36508676 -0.36508676 -0.36508676 -0.36508676 -0.36508676 -0.36508676 -0.36508676 -0.4722751
-0.8178583 -0.34103894 -0.3559963 -0.3559963 -0.3559963 -0.3559963 -0.3559963 -0.3561157 -0.35912666 -0.3854364 -0.61108935 -0.9906839 -1.3936478 -1.5343907 -1.4836161 -1.3011214 -0.99075854 -0.7157599 -0.4642757 -0.36089927 -0.35584742 -0.3559963 -0.3559963 -0.3559963 -0.3559963 -0.3559963 -0.3559963 -0.45573246
-0.8178583 -0.34103894 -0.3559963 -0.3559963 -0.3559963 -0.3559963 -0.35608473 -0.3614409 -0.4313246 -0.8673379 -1.4105016 -1.7327708 -2.0758646 -2.1027193 -1.9013134 -1.6129472 -1.3687161 -1.1187621 -0.86059165 -0.54943913 -0.3670737 -0.35579845 -0.3559963 -0.3559963 -0.3559963 -0.3559963 -0.3559963 -0.45573246
-0.8178583 -0.34103894 -0.3559963 -0.3559963 -0.3559963 -0.3560011 -0.35906488 -0.42948458 -0.9846754 -1.5960914 -2.033883 -2.473322 -2.6226764 -2.3354373 -1.9576603 -1.6356045 -1.4604088 -1.3339047 -1.1477804 -0.885563 -0.5467742 -0.35491118 -0.35579735 -0.3559963 -0.3559963 -0.3559963 -0.3559963 -0.45573246
-0.8178583 -0.34103894 -0.3559963 -0.3559963 -0.3559963 -0.35698912 -0.39735803 -0.8436394 -1.6189795 -2.2886782 -2.9182696 -3.0556421 -2.6820698 -2.1654398 -1.7325171 -1.449765 -1.3521868 -1.2855238 -1.2089164 -1.0611368 -0.7702533 -0.4106805 -0.3502923 -0.35599664 -0.3559963 -0.3559963 -0.3559963 -0.45573246
-0.8178583 -0.34103894 -0.3559963 -0.3559963 -0.3560047 -0.36991423 -0.6182051 -1.4171338 -2.276733 -3.296586 -3.4197962 -2.8867424 -2.1541378 -1.6169337 -1.3106707 -1.1943922 -1.1524229 -1.1150817 -1.0947425 -1.0409415 -0.88877773 -0.58820105 -0.34438735 -0.35574895 -0.3559963 -0.3559963 -0.3559963 -0.45573246
-0.8178583 -0.34103894 -0.3559963 -0.3559963 -0.35712013 -0.44794914 -1.1720548 -1.9469657 -3.2434125 -3.8207438 -3.0851672 -2.0851839 -1.4790323 -1.2122215 -1.0469011 -0.9696937 -0.9585488 -0.98249817 -0.99465317 -0.9525162 -0.93735754 -0.74207735 -0.40210634 -0.35166898 -0.3559963 -0.3559963 -0.3559963 -0.45573246
-0.8178583 -0.34103894 -0.3559963 -0.3559963 -0.36867794 -0.7729681 -1.8579305 -2.6869566 -4.0342336 -3.491693 -2.107107 -1.3793111 -1.1489271 -1.0923703 -1.0219357 -0.9175193 -0.895354 -0.8984773 -0.89490247 -0.88542837 -0.8897469 -0.80537033 -0.5080781 -0.33422884 -0.3559979 -0.3559963 -0.3559963 -0.45573246
-0.8178583 -0.34103894 -0.3559963 -0.35599682 -0.43363076 -1.4973357 -2.40652 -3.5031936 -4.0320854 -2.3379157 -1.3236036 -1.1078228 -1.1138932 -1.1640674 -1.1445128 -1.0383118 -0.97219807 -0.90575963 -0.8692238 -0.8281753 -0.79988205 -0.72963655 -0.56870514 -0.3447967 -0.3558568 -0.3559963 -0.3559963 -0.45573246
-0.8178583 -0.34103894 -0.3559963 -0.35610554 -0.5808492 -2.058616 -2.8798583 -3.893492 -3.069894 -1.4700526 -1.0440751 -1.0074736 -1.1067013 -1.2082431 -1.2202686 -1.1697316 -1.0641448 -0.9662496 -0.8849266 -0.7929021 -0.72403955 -0.6716592 -0.59237546 -0.37299967 -0.35454842 -0.3559963 -0.3559963 -0.45573246
-0.8178583 -0.34103894 -0.3559963 -0.35686973 -0.68967 -2.031581 -3.0506568 -3.621983 -2.0876932 -1.0372218 -0.8503391 -0.86633396 -0.9505913 -0.9546779 -0.9942946 -1.0636561 -1.0389317 -0.9704332 -0.88811004 -0.7780728 -0.68899006 -0.6376612 -0.57205606 -0.38820958 -0.3506797 -0.3559963 -0.3559963 -0.45573246
-0.8178583 -0.34103894 -0.3559963 -0.35881618 -0.62430084 -1.682031 -2.8389506 -2.9050076 -1.3258132 -0.7172905 -0.64853454 -0.66492885 -0.62965006 -0.58420837 -0.6118887 -0.73150456 -0.80868036 -0.82015276 -0.7761973 -0.717812 -0.6436243 -0.58229834 -0.5228559 -0.3982824 -0.34739974 -0.3559963 -0.3559963 -0.45573246
-0.8178583 -0.34103894 -0.3559963 -0.35994744 -0.51548064 -1.5351585 -2.81298 -2.4909508 -0.946781 -0.50470716 -0.5117107 -0.48534188 -0.44228145 -0.41657522 -0.4216075 -0.47778684 -0.5514924 -0.5965829 -0.59830105 -0.60214007 -0.5810481 -0.5387291 -0.48659402 -0.39367735 -0.34440348 -0.3559963 -0.3559963 -0.45573246
-0.8178583 -0.34103894 -0.3559963 -0.36047113 -0.537662 -1.8492132 -3.1962748 -2.6708887 -1.0553479 -0.493417 -0.47586966 -0.43021113 -0.3889453 -0.39500597 -0.39971247 -0.40642473 -0.46010458 -0.49610442 -0.5248591 -0.55622923 -0.56172997 -0.5309969 -0.4856196 -0.409514 -0.34728825 -0.3559963 -0.3559963 -0.45573246
-0.8178583 -0.34103894 -0.3559963 -0.3604675 -0.663957 -2.2678277 -3.2477708 -2.8892267 -1.4424951 -0.6198189 -0.51909065 -0.49854988 -0.42773223 -0.3836322 -0.4060736 -0.47987252 -0.59023726 -0.636887 -0.6598703 -0.66492003 -0.6205017 -0.57423824 -0.52749413 -0.42277476 -0.34726903 -0.3559963 -0.3559963 -0.45573246
-0.8178583 -0.34103894 -0.3559963 -0.3574983 -0.6587673 -2.11737 -2.868798 -2.93052 -1.8964995 -0.86741894 -0.62064695 -0.6111947 -0.578371 -0.50961447 -0.58885247 -0.7820623 -0.8781931 -0.8860769 -0.86272705 -0.8121429 -0.72933036 -0.6587654 -0.5952972 -0.4232658 -0.34889892 -0.3559963 -0.3559963 -0.45573246
-0.8178583 -0.34103894 -0.3559963 -0.3560634 -0.5374167 -1.5504742 -2.3385618 -2.7150939 -2.2562346 -1.3164883 -0.79833794 -0.7270961 -0.7640378 -0.79485995 -0.95003283 -1.1282706 -1.1017884 -1.0679557 -1.0164963 -0.91619575 -0.82461786 -0.74195075 -0.65348 -0.39840642 -0.35255823 -0.3559963 -0.3559963 -0.45573246
-0.8178583 -0.34103894 -0.3559963 -0.3559963 -0.41768998 -0.9760444 -1.7685672 -2.2345707 -2.359589 -1.7515675 -1.110096 -0.880479 -0.943037 -1.0876466 -1.1500976 -1.1384779 -1.0990251 -1.084297 -1.024936 -0.93999684 -0.8709131 -0.7961943 -0.6661338 -0.3550075 -0.3555879 -0.3559963 -0.3559963 -0.45573246
-0.8178583 -0.34103894 -0.3559963 -0.3559963 -0.36746347 -0.5965584 -1.2898237 -1.8229545 -2.1511428 -2.0557346 -1.5596246 -1.0917081 -1.0007406 -1.0627553 -1.0620991 -1.0200965 -1.0122118 -0.98320574 -0.9750402 -0.9336863 -0.9160137 -0.8636435 -0.62850106 -0.3284356 -0.3561159 -0.3559963 -0.3559963 -0.45573246
-0.8178583 -0.34103894 -0.3559963 -0.3559963 -0.35724434 -0.4307001 -0.90842956 -1.4427254 -1.8538173 -2.0629258 -1.9115007 -1.4141792 -1.0915954 -1.0153669 -0.9781362 -0.96770597 -0.9413117 -0.94559336 -0.9931902 -0.98417157 -0.9783062 -0.90964997 -0.46143746 -0.33712184 -0.3559973 -0.3559963 -0.3559963 -0.45573246
-0.8178583 -0.34103894 -0.3559963 -0.3559963 -0.35600153 -0.376391 -0.6034968 -1.131048 -1.489945 -1.8054786 -1.9692062 -1.7369748 -1.3846616 -1.150729 -1.0429734 -1.0184534 -0.9858636 -1.0005785 -1.0295514 -1.0484306 -1.02022 -0.7541351 -0.32994524 -0.35519212 -0.3559963 -0.3559963 -0.3559963 -0.45573246
-0.8178583 -0.34103894 -0.3559963 -0.3559963 -0.3559963 -0.357812 -0.4324206 -0.7915009 -1.1516012 -1.4435558 -1.7224506 -1.7918326 -1.6364847 -1.363074 -1.2373207 -1.1153635 -1.0567278 -1.0373074 -1.0554969 -1.0445064 -0.91197544 -0.4329031 -0.34169206 -0.35606208 -0.3559963 -0.3559963 -0.3559963 -0.45573246
-0.8178583 -0.34103894 -0.3559963 -0.3559963 -0.3559963 -0.35594842 -0.3658716 -0.46912238 -0.7898611 -1.1418053 -1.3396045 -1.5114639 -1.5264136 -1.3732234 -1.2323192 -1.1239747 -1.049654 -1.0378228 -1.0264786 -0.95288455 -0.5425874 -0.33579627 -0.3575745 -0.3559963 -0.3559963 -0.3559963 -0.3559963 -0.45573246
-0.8178583 -0.34103894 -0.3559963 -0.3559963 -0.3559963 -0.3559963 -0.35574475 -0.3634531 -0.4716103 -0.7733443 -1.0272303 -1.1798415 -1.2501583 -1.2038289 -1.1505295 -1.0501574 -0.97447515 -0.938457 -0.85177255 -0.52935064 -0.33392367 -0.35850185 -0.35599557 -0.3559963 -0.3559963 -0.3559963 -0.3559963 -0.45573246
-0.8178583 -0.34103894 -0.3559963 -0.3559963 -0.3559963 -0.3559963 -0.3559963 -0.35545555 -0.3541805 -0.41223168 -0.605625 -0.8537009 -0.97617126 -0.96638256 -0.95349085 -0.8916967 -0.82276666 -0.658005 -0.4290652 -0.33728477 -0.35689345 -0.35608676 -0.3559963 -0.3559963 -0.3559963 -0.3559963 -0.3559963 -0.45573246
-0.8178583 -0.34103894 -0.3559963 -0.3559963 -0.3559963 -0.3559963 -0.3559963 -0.3559963 -0.35570362 -0.3498487 -0.3454467 -0.4046429 -0.51613104 -0.57448214 -0.57737833 -0.5000654 -0.38836247 -0.33533084 -0.34776413 -0.3588976 -0.35599902 -0.3559963 -0.3559963 -0.3559963 -0.3559963 -0.3559963 -0.3559963 -0.45573246
-0.8329894 -0.37407333 -0.37915584 -0.37915584 -0.37915584 -0.37915584 -0.37915584 -0.37915584 -0.37915584 -0.37914303 -0.37812954 -0.37330854 -0.3638201 -0.3524533 -0.3535502 -0.35584003 -0.37084144 -0.38201213 -0.37944132 -0.37915584 -0.37915584 -0.37915584 -0.37915584 -0.37915584 -0.37915584 -0.37915584 -0.37915584 -0.42550445
