Subject ID,pca1,pca2,pca3,Dataset
4020673,0.7959022,-1.3992621,-5.4752812,21015
5083845,6.9609838,0.60246575,-4.3375506,21015
5982005,-13.923196,-0.7078009,0.6843335,21015
4845817,5.3708024,3.161659,-1.6533608,21015
2558236,5.1272693,7.0075283,3.4651957,21015
4579274,-13.923196,-0.7078009,0.6843335,21015
5599616,1.5902373,-0.84135634,-3.2630763,21015
1398279,5.293575,1.6348555,-0.70965433,21015
5972919,-5.493445,-2.6425626,4.03276,21015
5117869,2.4185057,-3.391174,6.448309,21015
3798293,-3.3567991,1.3224965,-5.280136,21015
5956314,2.8832164,2.642539,-0.93894446,21015
1918336,-11.010265,2.6801956,-1.7457737,21015
2539916,2.4428415,-3.1820524,-6.0112104,21015
1895187,-3.6844988,2.4459436,-1.5860666,21015
5817327,7.934288,5.012274,-1.157192,21015
1158953,-13.923196,-0.7078009,0.6843335,21015
2626224,3.2165344,-0.76337147,9.065762,21015
4842060,-1.1903927,-0.3275635,-2.7332377,21015
3934902,-13.411496,-0.27344635,0.5658601,21015
1127899,-1.645135,4.8055854,4.048056,21015
2194513,-8.138706,-1.7691848,1.1721915,21015
4959598,-12.461613,-1.7678092,0.004996553,21015
4392428,0.37866807,4.0786767,-3.1033628,21015
6012470,2.0758438,-4.3731985,5.6472287,21015
1515564,9.54082,0.83087283,-3.7195013,21015
3060655,7.292377,0.2350262,2.3138301,21015
3006714,1.8531433,2.2811267,-2.5560737,21015
5223688,-0.83674276,3.99113,-3.6396432,21015
5002357,6.296249,-5.760922,1.505363,21015
2656324,-9.7032795,-1.8948435,-1.7332754,21015
4133634,-13.826609,-0.64847374,0.6464421,21015
5100624,-13.923196,-0.7078009,0.6843335,21015
1934186,7.926088,-0.82711214,0.4823436,21015
1476423,4.487651,3.205495,-0.8763972,21015
3011992,-4.0944085,2.1085455,3.1256273,21015
4030049,9.30758,-0.65730447,-2.6012828,21015
4462853,-13.563213,-0.7552389,0.8984748,21015
4188008,8.860176,4.360348,3.2297235,21015
4757875,-5.3076115,2.7271676,-1.9839158,21015
1847924,11.446998,6.457509,-4.2881103,21015
3674930,-1.0299671,1.2546352,1.0869185,21015
3753540,6.247867,1.6311858,3.4967928,21015
1925994,-3.0657284,4.814393,3.8713348,21015
6013885,4.736024,-1.6739168,0.48219675,21015
3054850,11.227159,-5.256774,-1.2608756,21015
2640157,-11.105564,-1.5284777,2.5516672,21015
3771936,3.1499407,1.5589341,-7.4038596,21015
2693733,3.6333127,6.4585633,2.2041426,21015
4064976,-7.2750497,0.40185282,0.289182,21015
1515889,10.057045,-4.4950066,-5.808403,21015
1461748,-8.975455,-3.190174,-3.9084756,21015
3488486,-6.890015,0.57337916,1.7173973,21015
1685479,-9.004055,3.1459882,1.7215741,21015
5058465,2.3787794,-6.631285,-3.9513988,21015
4109928,1.5974048,0.8182965,1.7008674,21015
2104613,4.7410126,1.6990718,3.9121351,21015
3035370,8.378773,5.321651,-6.4009767,21015
3369216,7.61608,5.612547,-1.3533641,21015
1442830,7.2564044,3.5357244,-0.4965314,21015
4652857,2.9891295,-5.160617,-2.5472424,21015
2202063,-13.728501,-0.58338434,0.6872398,21015
3009825,2.2717543,-0.6072984,-5.1969366,21015
2076076,-11.060198,0.14537156,1.8214499,21015
5795253,-0.84933895,4.402401,5.841861,21015
3389224,1.0967995,1.1713419,7.1848736,21015
5041633,-2.8362536,-0.78991526,-6.998319,21015
3829878,-0.5429799,-3.7401989,-3.7678692,21015
3693175,2.1875224,-1.885607,-0.32160905,21015
1865760,-11.998295,-0.22834902,-0.08017714,21015
2096299,-12.171019,0.22651656,1.134935,21015
1141435,-13.923196,-0.7078009,0.6843335,21015
3991839,9.387303,-3.541652,-2.553467,21015
4607289,3.648692,3.9931362,0.9461944,21015
4871906,-1.7160277,-1.3845148,-3.5786896,21015
5190524,-0.5863465,-6.3692436,-2.9924793,21015
4031363,-13.544575,-0.7363727,0.20678122,21015
3893048,-11.637802,-0.60521126,1.4592575,21015
4458784,1.5048516,0.5678491,3.9380758,21015
4207538,-6.6154613,2.4603858,-3.2400126,21015
3969451,8.610371,0.42588043,1.0817648,21015
5277068,11.365688,0.515214,-1.6460907,21015
1564891,0.8494593,-6.7097883,-5.5503883,21015
3486856,-13.923196,-0.7078009,0.6843335,21015
1163757,-3.135312,2.2165952,2.3663087,21015
5714488,6.3868775,4.708564,-5.384523,21015
4680229,-12.424214,0.9706392,0.7470328,21015
5254212,6.622538,8.6935625,-4.147647,21015
4427458,3.6023638,6.1156316,0.285105,21015
4039903,10.510966,-3.9822729,-1.8985564,21015
2081894,8.754139,3.2626562,-4.102205,21015
3098186,-8.695556,3.0413487,0.30993587,21015
2324980,5.12698,-7.190676,0.7837875,21015
1558890,7.8137603,3.5877228,3.05263,21015
4579610,4.976045,1.0926479,6.194596,21015
1183133,9.456687,6.1811085,-0.29942843,21015
5375386,1.7144071,3.6362047,-1.3738644,21015
3226868,4.351393,4.2255864,-2.8400445,21015
5774739,0.8804738,0.9664065,-0.5205885,21015
4948901,-3.924994,-1.0452802,-8.537306,21015
4118783,-13.923196,-0.7078009,0.6843335,21015
2423490,4.5248423,-0.24744806,-0.7803622,21015
3366943,10.802081,3.0148592,-4.05843,21015
5493063,-10.789261,-0.30944982,1.6593109,21015
3407512,3.5381386,2.9501774,1.9122022,21015
3497922,2.1242108,-2.4367707,-1.6901242,21015
2575727,6.398442,-1.3516997,-1.3184656,21015
4374413,5.5048323,-1.4413717,-1.8647879,21015
5687858,-13.366964,-0.7361684,0.71317965,21015
4348244,-10.989769,-2.064745,2.544208,21015
3942509,-10.659274,-1.2834139,1.0929674,21015
4915476,4.048759,3.6472692,-1.7250923,21015
3248194,-2.1298087,2.8874729,-1.4157764,21015
3104415,-11.647842,0.05110074,1.3944123,21015
2182136,5.7643023,-3.1097126,-2.8945608,21015
1961028,1.0183669,0.87663007,-0.21738371,21015
5688590,-10.214425,-0.020085957,1.9082681,21015
2010875,7.48977,3.8732312,0.96463645,21015
3257870,4.797653,0.11691281,0.7079309,21015
4168683,-11.424578,-0.7578665,-1.0352333,21015
4464558,-13.923196,-0.7078009,0.6843335,21015
4702156,-6.6335425,0.5921081,-3.0162442,21015
4879530,-3.2119784,-5.671139,-1.891,21015
3103376,-11.688496,-0.6937437,-2.011321,21015
3367784,-13.158121,-0.4435898,0.79344946,21015
1150888,-0.28266332,4.6974516,-2.839796,21015
5816469,2.514222,2.3941383,0.90928227,21015
5633343,3.287684,4.039368,-0.5579036,21015
4962231,-10.720266,-1.6771935,-0.7984011,21015
4914581,-9.389723,-0.1538686,-2.539496,21015
4218767,2.832618,5.932901,0.46971855,21015
2531520,6.824284,5.384419,2.4185758,21015
3151326,0.9306383,4.1076736,1.5554099,21015
3228955,-11.84334,-1.2119837,1.6324053,21015
1526866,-3.8034742,8.420498,0.1010607,21015
