Subject ID,pca1,pca2,pca3,Dataset
4020673,-0.84218735,-2.4623387,-0.111388616,21015
5083845,1.7809358,-0.18162237,1.1437137,21015
5982005,-3.4256713,0.05607675,0.27923757,21015
4845817,-0.03820944,0.30951995,-0.11014692,21015
2558236,1.2812108,1.2387177,0.72036165,21015
4579274,-3.4256713,0.05607675,0.27923757,21015
5599616,-0.27475312,-1.488478,-0.46334523,21015
1398279,0.4272145,0.9972152,0.58407915,21015
5972919,-2.029648,-0.6148102,0.32531244,21015
5117869,0.65823525,-1.8563632,1.0589414,21015
3798293,0.5888001,-0.7375645,-2.26099,21015
5956314,1.2548635,-0.22294548,-1.4742708,21015
1918336,-3.4062784,0.35214317,0.06618423,21015
2539916,-0.7602969,-0.6678551,-0.82133424,21015
1895187,-0.31656852,-0.10578316,-2.2374356,21015
5817327,1.9834247,1.4261266,-1.4274149,21015
1158953,-3.4256713,0.05607675,0.27923757,21015
2626224,-0.52626586,1.5443759,-1.5109423,21015
4842060,-2.3070805,-0.44914874,0.45122898,21015
3934902,-3.5884552,0.33409524,0.32284236,21015
1127899,-0.40309837,0.34935725,-1.9513109,21015
2194513,-2.9040577,-0.3567087,0.23656422,21015
4959598,-3.3467414,0.13612919,0.21379499,21015
4392428,-2.5538814,0.62159055,0.82155234,21015
6012470,0.2347817,-2.699507,0.1491084,21015
1515564,3.9765253,0.6110648,0.43997446,21015
3060655,3.528029,-1.1572669,-1.2676375,21015
3006714,-1.6604856,0.6585414,-0.35366878,21015
5223688,-0.34693757,-1.5248119,-1.1205549,21015
5002357,3.4380968,-0.31665328,1.1238139,21015
2656324,-3.5299916,0.20265488,0.2969769,21015
4133634,-3.4164107,0.062467963,0.300818,21015
5100624,-3.4256713,0.05607675,0.27923757,21015
1934186,1.08431,-0.18784693,0.14053552,21015
1476423,1.310555,-1.7469138,-0.39763033,21015
3011992,-3.412238,0.03712867,0.039144553,21015
4030049,3.7411363,0.07893244,-0.8656509,21015
4462853,-3.4082916,0.07147002,0.29842788,21015
4188008,3.4447093,0.7366856,1.6399401,21015
4757875,-2.4762688,-0.22294143,0.528817,21015
1847924,6.087677,2.241693,1.0625178,21015
3674930,-1.9369187,0.17571662,0.49873716,21015
3753540,2.8062022,0.91231924,-0.6944814,21015
1925994,0.4755441,-1.5243998,-1.0366113,21015
6013885,0.76125634,-0.54893607,0.39674857,21015
3054850,3.2530391,1.1166791,1.5950592,21015
2640157,-3.1594276,0.20142554,0.6686192,21015
3771936,0.14536464,0.3060693,-1.5580922,21015
2693733,1.7676435,0.2999383,0.46761984,21015
4064976,-2.7256594,0.12810515,-0.14599212,21015
1515889,1.8856735,0.12909098,-0.7546447,21015
1461748,-2.4060066,-0.2263104,-0.5182221,21015
3488486,-1.1781169,-0.89712083,-0.6318929,21015
1685479,-2.5200086,-0.2962393,-0.3000425,21015
5058465,0.440715,-0.8727241,-0.40397978,21015
4109928,-1.3556774,-0.30183104,-0.3155369,21015
2104613,1.2853353,-0.3077425,-1.0108329,21015
3035370,4.889828,-1.4018486,-0.56855464,21015
3369216,2.8170347,0.05818199,1.4145455,21015
1442830,5.227135,0.5325945,1.2004815,21015
4652857,1.4492748,-1.6965437,-1.8069042,21015
2202063,-3.3609958,0.050903045,0.26332873,21015
3009825,-0.8106708,-0.57416856,-0.6266857,21015
2076076,-3.421281,0.3435996,0.08234175,21015
5795253,-2.7946806,1.0904497,0.3674271,21015
3389224,0.9021397,-0.39093268,-1.8135623,21015
5041633,-0.65323293,-1.9618745,-0.6385877,21015
3829878,-2.4309824,0.5457881,-0.39950508,21015
3693175,-1.4534606,1.7799865,-0.0023272273,21015
1865760,-3.4695637,0.16085045,0.27537557,21015
2096299,-3.6570904,0.18642649,0.35572273,21015
1141435,-3.4256713,0.05607675,0.27923757,21015
3991839,4.4328847,-1.4322089,1.7829535,21015
4607289,1.8407105,-0.6976281,-2.2763717,21015
4871906,1.1982112,-2.6568584,-0.38576084,21015
5190524,0.18717825,-1.5848676,-1.7696425,21015
4031363,-3.4468985,0.10559118,0.26975614,21015
3893048,-3.5327978,0.009444258,0.4464295,21015
4458784,-0.60327584,0.84576356,-0.6267203,21015
4207538,-1.5372851,-0.7057861,-1.0463775,21015
3969451,3.1343057,1.4185318,0.37425157,21015
5277068,3.8728013,0.8800563,-0.452895,21015
1564891,2.2142556,-0.8452101,-2.812296,21015
3486856,-3.4256713,0.05607675,0.27923757,21015
1163757,-3.2247663,0.7666821,1.0236527,21015
5714488,3.348847,-0.7845783,-0.32888374,21015
4680229,-3.3550432,-0.03151914,0.23573346,21015
5254212,0.6580815,0.953124,-0.49704933,21015
4427458,0.9329119,-0.8507095,-1.927774,21015
4039903,6.33831,0.01304471,1.4663676,21015
2081894,1.6482557,0.801141,2.047806,21015
3098186,-3.6896787,0.51149005,0.4467723,21015
2324980,-0.95118797,0.3406115,0.5546251,21015
1558890,1.5570228,0.5913134,-0.0958585,21015
4579610,-0.16547365,0.18416469,-0.3627012,21015
1183133,4.0346556,-0.124380976,-1.456288,21015
5375386,0.7428512,-1.1086217,0.68988305,21015
3226868,1.1737285,0.48032245,-1.3388371,21015
5774739,-1.3548392,-0.24932119,-0.344169,21015
4948901,2.0091994,-3.2634332,-2.1951184,21015
4118783,-3.4256713,0.05607675,0.27923757,21015
2423490,1.719963,-0.87231535,-0.89593166,21015
3366943,3.7580874,0.5223394,2.2413607,21015
