Subject ID,pca1,pca2,pca3,Dataset
4020673,0.7959027,-1.3988528,-5.480421,21015
5083845,6.960983,0.6020628,-4.3325663,21015
5982005,-13.923195,-0.7078476,0.68523604,21015
4845817,5.370801,3.1620352,-1.6469809,21015
2558236,5.1272645,7.007983,3.4624038,21015
4579274,-13.923195,-0.7078476,0.68523604,21015
5599616,1.5902386,-0.8417532,-3.2652037,21015
1398279,5.2935743,1.6346961,-0.7086021,21015
5972919,-5.493444,-2.642615,4.0340934,21015
5117869,2.4185073,-3.391443,6.449479,21015
3798293,-3.3567994,1.3228601,-5.282372,21015
5956314,2.883216,2.6427145,-0.9455482,21015
1918336,-11.010267,2.6800418,-1.7431015,21015
2539916,2.4428437,-3.1816392,-6.0088873,21015
1895187,-3.6844997,2.445694,-1.5824938,21015
5817327,7.9342847,5.012169,-1.1508669,21015
1158953,-13.923195,-0.7078476,0.68523604,21015
2626224,3.2165349,-0.7635783,9.062226,21015
4842060,-1.1903937,-0.32717383,-2.733459,21015
3934902,-13.411497,-0.27348143,0.56606776,21015
1127899,-1.6451379,4.8056493,4.047877,21015
2194513,-8.138705,-1.769601,1.1694465,21015
4959598,-12.461611,-1.7678585,0.0043927655,21015
4392428,0.37866658,4.0786443,-3.0970469,21015
6012470,2.0758464,-4.3734884,5.639667,21015
1515564,9.540819,0.8308661,-3.724071,21015
3060655,7.2923765,0.23456052,2.3075469,21015
3006714,1.853142,2.2814767,-2.5529609,21015
5223688,-0.83674365,3.9910808,-3.6373482,21015
5002357,6.2962503,-5.76089,1.4932182,21015
2656324,-9.703278,-1.8946798,-1.7339783,21015
4133634,-13.826608,-0.648517,0.64753765,21015
5100624,-13.923195,-0.7078476,0.68523604,21015
1934186,7.926088,-0.82649857,0.47366124,21015
1476423,4.48765,3.205401,-0.87922066,21015
3011992,-4.094409,2.1085448,3.1198356,21015
4030049,9.30758,-0.6571363,-2.605686,21015
4462853,-13.563212,-0.75527954,0.89915955,21015
4188008,8.860172,4.360529,3.2344027,21015
4757875,-5.307613,2.7274554,-1.9876056,21015
1847924,11.446996,6.457607,-4.280106,21015
3674930,-1.0299671,1.2547038,1.0816914,21015
3753540,6.247865,1.6310062,3.5095422,21015
1925994,-3.065731,4.8141036,3.87585,21015
6013885,4.736024,-1.6741456,0.48499036,21015
3054850,11.227161,-5.256972,-1.2689825,21015
2640157,-11.105564,-1.5285296,2.5519776,21015
3771936,3.1499398,1.559349,-7.4063473,21015
2693733,3.6333094,6.458737,2.207685,21015
4064976,-7.2750497,0.40201157,0.29178205,21015
1515889,10.057048,-4.4951553,-5.8103414,21015
1461748,-8.975454,-3.1901612,-3.9091341,21015
3488486,-6.890015,0.57340777,1.7141255,21015
1685479,-9.004056,3.1458533,1.7202902,21015
5058465,2.3787823,-6.6308947,-3.9591422,21015
4109928,1.5974042,0.8184964,1.6940855,21015
2104613,4.741011,1.6994596,3.908155,21015
3035370,8.378771,5.3211937,-6.401502,21015
3369216,7.6160765,5.6122127,-1.3503408,21015
1442830,7.2564015,3.5356612,-0.48961407,21015
4652857,2.989132,-5.1600347,-2.5473492,21015
2202063,-13.728501,-0.583423,0.68827444,21015
3009825,2.2717552,-0.60710055,-5.2020555,21015
2076076,-11.060199,0.14519054,1.8198842,21015
5795253,-0.84934187,4.4026184,5.8466387,21015
3389224,1.0967987,1.1712867,7.185259,21015
5041633,-2.8362532,-0.7901504,-6.994868,21015
3829878,-0.54297787,-3.7406075,-3.7725084,21015
3693175,2.1875231,-1.8859018,-0.32240465,21015
1865760,-11.998295,-0.22819886,-0.08543802,21015
2096299,-12.17102,0.22645026,1.1347042,21015
1141435,-13.923195,-0.7078476,0.68523604,21015
3991839,9.387306,-3.5412617,-2.5503392,21015
4607289,3.64869,3.9933925,0.94524,21015
4871906,-1.7160265,-1.3842481,-3.5811834,21015
5190524,-0.5863439,-6.3698635,-2.9903333,21015
4031363,-13.544575,-0.7363485,0.20617732,21015
3893048,-11.637802,-0.6052905,1.4601705,21015
4458784,1.5048511,0.5681409,3.9363575,21015
4207538,-6.6154637,2.4601617,-3.2385647,21015
3969451,8.61037,0.4249489,1.066401,21015
5277068,11.365687,0.51544476,-1.6489577,21015
1564891,0.8494628,-6.709356,-5.5488443,21015
3486856,-13.923195,-0.7078476,0.68523604,21015
1163757,-3.135314,2.2165365,2.36583,21015
5714488,6.3868747,4.708944,-5.3814692,21015
4680229,-12.424215,0.9707686,0.7466057,21015
