Subject ID,pca1,pca2,pca3,Dataset
4020673,0.8720372,4.524755,-1.1971154,21015
5083845,5.16032,1.3048588,-0.6222482,21015
5982005,-11.238714,0.36319754,-0.2269432,21015
4845817,3.1113493,-2.0326817,-1.8055364,21015
2558236,1.4559904,-5.814268,1.264496,21015
4579274,-11.238714,0.36319754,-0.2269432,21015
5599616,1.1858939,1.4503614,-5.293101,21015
1398279,3.66885,0.49036348,-0.2676014,21015
5972919,-5.266447,4.4058566,0.59541464,21015
5117869,2.8860226,-0.46464714,-4.434243,21015
3798293,2.0667913,1.3530056,-3.3228884,21015
5956314,5.0223217,-3.127953,-4.162926,21015
1918336,-8.964206,-0.7432424,-1.1274619,21015
2539916,1.5586952,4.226983,-0.99954736,21015
1895187,0.55733544,-6.0410976,-3.8785162,21015
5817327,5.4888654,-2.5022087,-0.8544368,21015
1158953,-11.238714,0.36319754,-0.2269432,21015
2626224,0.07404356,-5.97153,5.95751,21015
4842060,-3.219426,3.2435076,-0.7773207,21015
3934902,-11.116987,0.10483652,-0.16292067,21015
1127899,0.039668303,-6.9701347,-1.7456244,21015
2194513,-8.789008,2.5705323,1.4003084,21015
4959598,-10.585302,0.83447516,-0.3126901,21015
4392428,-3.5564609,0.3104523,1.322503,21015
6012470,-0.21255085,7.413523,-0.6965462,21015
1515564,7.5258327,2.0893464,3.1720243,21015
3060655,11.27923,-2.762462,-4.816378,21015
3006714,-0.34123096,-0.5516458,-0.24908523,21015
5223688,-0.47969753,-2.381471,-4.964862,21015
5002357,8.123342,7.0681386,3.811994,21015
2656324,-9.507806,0.42289546,-0.4310884,21015
4133634,-11.196917,0.36537483,-0.18669647,21015
5100624,-11.238714,0.36319754,-0.2269432,21015
1934186,6.261185,-1.2418503,-1.595873,21015
1476423,5.517384,-1.5336462,-5.723369,21015
3011992,-6.2429614,-2.1278982,-1.685123,21015
4030049,8.309386,-2.4237444,1.6026446,21015
4462853,-11.183694,0.35206982,-0.17603643,21015
4188008,8.897894,-3.667003,-1.5994375,21015
4757875,-5.1418357,1.5572635,-2.4209175,21015
1847924,12.7357435,-1.9831458,4.2163944,21015
3674930,-3.5114393,-0.49791512,-1.3536097,21015
3753540,7.6128078,-6.327774,0.22420745,21015
1925994,1.5654641,-6.603902,-5.494147,21015
6013885,6.1210504,-0.29471585,-3.6966038,21015
3054850,8.206107,4.49069,4.228263,21015
2640157,-10.417312,0.44250572,0.51259345,21015
3771936,2.3092759,1.1707952,-1.749654,21015
2693733,5.926908,-6.794983,-3.1674423,21015
4064976,-7.417919,-0.9433436,-0.25488123,21015
1515889,5.3488503,7.5599074,4.189037,21015
1461748,-4.527355,1.7754298,-3.7783833,21015
3488486,-4.699157,-2.3660312,-1.9132974,21015
1685479,-5.759861,-3.6688216,-2.797362,21015
5058465,1.6962159,6.004652,0.14165238,21015
4109928,0.93322694,-2.736726,-3.8919327,21015
2104613,3.6447456,-5.0900807,-1.9063587,21015
3035370,10.960495,-3.2471538,-6.516812,21015
3369216,6.855921,-4.8458133,-0.80207956,21015
1442830,10.295713,-5.542403,-2.9247055,21015
