0 1 2 3 4 5 6 7 8 9 10 11 12 13
0.073262416 -0.032559868 -0.03148206 -0.03145795 -0.015550175 0.047423836 0.094177775 0.11108215 0.0766113 -0.007272509 -0.031182263 -0.03148206 -0.03148206 -0.08564564
0.08673514 -0.028204717 -0.027921632 0.0029173396 0.10193189 0.14170635 -0.08934512 -0.13302109 0.033505168 0.17364956 0.047387373 -0.027203675 -0.027973022 -0.064166196
0.086933136 -0.026859622 -0.01070085 0.09980126 0.147902 -0.29174605 -0.6909956 -0.4460794 -0.22354338 -0.0031638118 0.2788054 0.029886384 -0.024810689 -0.06394745
0.086933136 -0.026512424 0.055163432 0.16494705 -0.32837984 -0.71961635 -0.36319697 -0.08286879 -0.006900141 0.035220023 0.2807607 0.21905954 -0.023300074 -0.06394745
0.086933136 -0.017266419 0.07586712 -0.21215677 -0.7541616 -0.215739 -0.05836841 0.015208445 0.119921826 0.18681873 0.21177697 0.3798274 -0.001944279 -0.06394745
0.086933136 -0.015941394 -0.08445113 -1.005329 -0.27425224 -0.030834412 -0.0631548 -0.04707923 0.083709836 0.1931609 0.24362263 0.3432225 0.023927344 -0.06394745
0.086933136 -0.013022239 -0.076270685 -1.1383854 0.0796035 0.18737607 0.17675915 0.08318224 0.17397371 0.20172703 0.22517769 0.2742765 0.034489557 -0.06394745
0.086933136 -0.006720831 -0.039052505 -1.0440801 -0.03815088 0.2174802 0.11706916 0.034418214 0.13717309 0.17466791 0.20071104 0.22589926 0.03643237 -0.06394745
0.086933136 -0.039052527 -0.12288975 -0.5318834 -0.3935743 0.06373582 0.09357788 0.04985045 0.09098614 0.15315156 0.21145396 0.26935768 0.0327681 -0.06394745
0.086933136 -0.03693025 -0.047499433 -0.09064876 -0.5066459 -0.23552583 -0.058598805 -0.02158376 0.0853657 0.17076975 0.21871151 0.3491168 0.0032505295 -0.06394745
0.086933136 -0.027424702 -0.02211756 -0.00465434 -0.274735 -0.5334514 -0.19738936 0.044942904 0.1074423 0.10584897 0.20789759 0.36890942 -0.016642954 -0.06394745
0.086933136 -0.0268592 -0.03230305 -0.025087759 0.008631622 -0.38575906 -0.490149 -0.2594028 -0.07637546 0.06292918 0.47658026 0.11656247 -0.024810463 -0.06394745
0.086933136 -0.026859598 -0.025348226 -0.025764838 0.01709245 0.038824372 -0.04375295 -0.021305382 0.11888001 0.38945943 0.23591447 -0.019435123 -0.024804926 -0.06394745
0.15407746 0.0582677 0.06315107 0.06250128 0.07237184 0.15397201 0.22290108 0.27468058 0.32541984 0.18843195 0.071014516 0.06314256 0.06315107 -0.01440986
