Layer index,node index,node value
0,4957,6.817136102911579
1,4062,2.2805880366699545
2,4062,2.280938003249742
3,1135,3.758154923109008
4,1135,3.7581549231090112
5,260,3.0070690820728596
6,260,3.007069082072862
7,87,1.0170433890749384
8,87,1.0170433890749373
9,16,1.5003576104281509
10,16,1.5001533749041007
11,16,1.472165126019291
