Subject ID,pca1,pca2,pca3,Dataset
4020673,-0.8421874,-2.4623396,-0.11138431,21015
5083845,1.7809355,-0.18162003,1.1437147,21015
5982005,-3.4256713,0.05607684,0.27923784,21015
4845817,-0.038209368,0.30951977,-0.1101475,21015
2558236,1.2812109,1.2387192,0.7203605,21015
4579274,-3.4256713,0.05607684,0.27923784,21015
5599616,-0.27475327,-1.488479,-0.46334302,21015
1398279,0.42721453,0.9972166,0.58407724,21015
5972919,-2.0296483,-0.61481,0.32531366,21015
5117869,0.6582353,-1.8563612,1.0589452,21015
3798293,0.5888,-0.7375687,-2.2609894,21015
5956314,1.2548635,-0.22294804,-1.4742714,21015
1918336,-3.4062781,0.35214302,0.0661843,21015
2539916,-0.76029694,-0.6678568,-0.8213339,21015
1895187,-0.31656876,-0.10578705,-2.237436,21015
5817327,1.9834244,1.4261245,-1.4274185,21015
1158953,-3.4256713,0.05607684,0.27923784,21015
2626224,-0.52626604,1.5443733,-1.5109457,21015
4842060,-2.3070805,-0.44914818,0.45123023,21015
3934902,-3.5884554,0.33409575,0.32284197,21015
1127899,-0.40309855,0.34935382,-1.9513121,21015
2194513,-2.9040577,-0.35670856,0.23656493,21015
4959598,-3.3467407,0.13612941,0.2137949,21015
4392428,-2.5538814,0.6215916,0.82155204,21015
6012470,0.23478167,-2.6995077,0.14911255,21015
1515564,3.9765253,0.6110657,0.43997255,21015
3060655,3.5280287,-1.157269,-1.2676365,21015
3006714,-1.6604856,0.65854067,-0.35367003,21015
5223688,-0.34693766,-1.524814,-1.1205524,21015
5002357,3.4380965,-0.31665134,1.1238141,21015
2656324,-3.5299916,0.20265526,0.29697672,21015
4133634,-3.416411,0.06246809,0.30081823,21015
5100624,-3.4256713,0.05607684,0.27923784,21015
1934186,1.0843098,-0.18784653,0.14053538,21015
1476423,1.310555,-1.746915,-0.39762712,21015
3011992,-3.412238,0.03712853,0.039145067,21015
4030049,3.741136,0.0789315,-0.8656517,21015
4462853,-3.408291,0.07147021,0.29842833,21015
4188008,3.4447093,0.73668885,1.6399397,21015
4757875,-2.4762685,-0.22294047,0.5288179,21015
1847924,6.087677,2.2416954,1.0625142,21015
3674930,-1.9369189,0.17571747,0.49873698,21015
3753540,2.8062022,0.91231847,-0.694485,21015
1925994,0.47554386,-1.5244018,-1.0366079,21015
6013885,0.76125646,-0.5489353,0.3967495,21015
3054850,3.2530396,1.1166822,1.5950576,21015
2640157,-3.1594274,0.20142661,0.6686197,21015
3771936,0.14536448,0.3060665,-1.5580935,21015
2693733,1.7676438,0.29993924,0.46761972,21015
4064976,-2.7256594,0.12810504,-0.14599192,21015
1515889,1.8856736,0.1290897,-0.7546461,21015
1461748,-2.4060068,-0.22631143,-0.51822144,21015
3488486,-1.178117,-0.8971219,-0.6318909,21015
1685479,-2.5200083,-0.29623973,-0.30004147,21015
5058465,0.44071487,-0.87272495,-0.40397874,21015
4109928,-1.3556776,-0.30183157,-0.31553668,21015
2104613,1.2853351,-0.30774418,-1.0108322,21015
3035370,4.889828,-1.4018499,-0.5685529,21015
3369216,2.8170352,0.058184724,1.4145467,21015
1442830,5.2271366,0.5325968,1.2004819,21015
4652857,1.4492748,-1.6965472,-1.8069025,21015
2202063,-3.3609955,0.050903104,0.26332927,21015
3009825,-0.8106707,-0.57416993,-0.6266855,21015
2076076,-3.4212813,0.34359965,0.08234158,21015
5795253,-2.7946813,1.0904502,0.3674255,21015
3389224,0.90213966,-0.39093605,-1.8135623,21015
5041633,-0.6532331,-1.9618765,-0.6385844,21015
3829878,-2.430982,0.5457878,-0.39950627,21015
3693175,-1.4534607,1.7799869,-0.0023311353,21015
1865760,-3.4695637,0.16085069,0.27537572,21015
2096299,-3.6570904,0.18642703,0.355723,21015
1141435,-3.4256713,0.05607684,0.27923784,21015
3991839,4.4328847,-1.4322056,1.7829556,21015
4607289,1.8407105,-0.69763196,-2.2763717,21015
4871906,1.1982111,-2.65686,-0.38575682,21015
5190524,0.18717828,-1.5848709,-1.7696409,21015
4031363,-3.4468985,0.105591424,0.2697564,21015
3893048,-3.5327976,0.009444499,0.44642994,21015
4458784,-0.60327595,0.8457623,-0.6267209,21015
4207538,-1.5372853,-0.7057881,-1.0463767,21015
3969451,3.134306,1.4185327,0.37424937,21015
5277068,3.872801,0.88005567,-0.45289826,21015
