Subject ID,pca1,pca2,pca3,Dataset
4020673,-1.8347535,3.240696,-8.284209,21015
5083845,17.576262,-0.7710405,-1.3782253,21015
5982005,-35.195816,0.24478006,4.6075764,21015
4845817,7.9277744,-3.4425838,-3.7508297,21015
2558236,14.716736,-9.902786,5.6551876,21015
4579274,-35.195816,0.24478006,4.6075764,21015
5599616,-1.1821523,3.9329224,-5.563469,21015
1398279,13.820428,1.6139727,5.1230397,21015
5972919,-13.129639,11.867464,1.1496583,21015
5117869,6.1541967,12.152025,0.88285685,21015
3798293,-6.43138,-3.9843237,-20.901012,21015
5956314,6.817576,-11.626993,-8.914801,21015
1918336,-28.965065,-1.5502911,-3.5153747,21015
2539916,-4.6678944,7.2855325,-8.623938,21015
1895187,-8.24024,-9.994114,-16.884869,21015
5817327,16.779646,-7.2678766,-2.0451431,21015
1158953,-35.195816,0.24478006,4.6075764,21015
2626224,4.138491,-1.8941379,-0.03463769,21015
4842060,-6.6018114,6.8712735,1.6552272,21015
3934902,-33.226986,-0.62268615,2.4193134,21015
1127899,-4.2541513,-12.704174,-5.425866,21015
2194513,-23.390604,6.9753833,-0.9903257,21015
4959598,-33.470654,2.5867393,2.3098845,21015
4392428,-4.5426855,-1.7756437,6.446196,21015
6012470,2.72865,13.492214,0.6935526,21015
1515564,22.363705,-0.7755022,4.6374407,21015
3060655,20.687136,1.2872231,-5.3691263,21015
3006714,-1.5415467,2.9817467,-3.9927301,21015
5223688,-6.703598,-6.022633,-14.644161,21015
5002357,24.472359,12.6522875,-2.4450166,21015
2656324,-28.201677,2.735843,-1.0305963,21015
4133634,-34.80081,0.48282313,5.134935,21015
5100624,-35.195816,0.24478006,4.6075764,21015
1934186,19.272463,5.17975,1.3884475,21015
1476423,9.290169,-0.08013499,-2.9529028,21015
3011992,-16.751345,-2.0292885,-3.5553913,21015
4030049,20.250011,1.5140126,1.2137585,21015
4462853,-34.251575,0.70306754,5.417742,21015
4188008,23.622646,-7.3419523,7.0006156,21015
4757875,-11.420483,-2.9879065,5.3200493,21015
1847924,30.28287,-11.180784,0.8737073,21015
3674930,-2.281584,0.3365841,3.732505,21015
3753540,16.436228,-10.894813,3.170583,21015
1925994,-1.6757638,-5.3239894,-1.9189394,21015
6013885,10.558113,5.0813646,-1.9745564,21015
3054850,28.494465,4.2466593,3.40667,21015
2640157,-27.52501,5.512658,12.787108,21015
3771936,5.7270913,-2.5713658,-8.120779,21015
2693733,12.787444,-12.519182,3.414567,21015
4064976,-16.587303,-2.2694087,-0.86477995,21015
1515889,19.387146,8.676811,-0.097723484,21015
1461748,-24.053589,5.8623886,-10.90857,21015
3488486,-13.039112,-5.5093307,-6.6212463,21015
1685479,-23.182076,-6.94097,-3.6187732,21015
5058465,3.4727373,6.8478727,-8.889038,21015
4109928,1.4159205,1.8184851,-7.996564,21015
2104613,12.308767,-7.6129527,0.13676167,21015
3035370,21.54469,-6.1025286,-4.091786,21015
3369216,17.415064,-13.154257,2.7367382,21015
1442830,22.170498,-12.013504,4.6633596,21015
4652857,5.8034744,11.4528675,-7.902482,21015
2202063,-34.74001,0.20326066,4.619068,21015
3009825,-0.39054728,-3.6509285,-7.809508,21015
2076076,-27.939308,-6.1565995,-1.301559,21015
5795253,-1.600743,-9.913357,6.1880693,21015
3389224,4.5886965,0.2494936,-8.265368,21015
5041633,-9.301998,-1.5279163,-16.845543,21015
3829878,-8.337845,1.3719976,-4.359516,21015
3693175,5.4243298,-3.8223457,0.38241768,21015
1865760,-30.408789,2.3965397,-1.5896854,21015
2096299,-30.389414,-1.4048865,0.6796999,21015
1141435,-35.195816,0.24478006,4.6075764,21015
3991839,27.183111,9.7305565,1.673172,21015
4607289,9.046062,-1.0964292,-9.592219,21015
4871906,-0.7706859,2.8243587,-13.597154,21015
5190524,-2.6819084,2.898687,-12.322046,21015
4031363,-34.49889,1.1987572,3.4421291,21015
3893048,-29.610138,1.7123699,9.570954,21015
4458784,5.790557,-10.708712,-0.8715184,21015
4207538,-17.665184,-3.4700966,-13.651189,21015
3969451,21.442406,-7.0359344,1.8325725,21015
5277068,24.925993,0.095237255,4.870284,21015
1564891,0.9426565,7.9763317,-17.296186,21015
3486856,-35.195816,0.24478006,4.6075764,21015
1163757,-9.625261,1.4534395,13.558492,21015
5714488,19.570024,-8.294927,1.3883202,21015
4680229,-32.466587,-2.267057,3.0006924,21015
5254212,14.7412195,-7.8332214,-0.45162463,21015
4427458,6.0502214,-6.3132367,-9.499231,21015
4039903,30.266487,4.4936337,4.116315,21015
2081894,16.188293,-0.36306024,6.3551064,21015
3098186,-21.849588,-2.6083975,3.745883,21015
2324980,12.941212,17.19368,1.0064554,21015
1558890,19.495914,0.7250123,-1.4773359,21015
4579610,8.260163,3.158637,-4.7583914,21015
1183133,21.611221,-10.718804,-1.7369955,21015
5375386,8.077016,-5.273144,-0.25993347,21015
3226868,5.8665304,-10.464895,-5.7987204,21015
5774739,3.145533,-2.105615,2.1388953,21015
4948901,-12.031359,-1.1415315,-20.838602,21015
4118783,-35.195816,0.24478006,4.6075764,21015
2423490,13.210861,-5.413501,4.3342066,21015
3366943,22.669151,-8.686531,-0.22830725,21015
5493063,-26.034351,-3.219828,2.1819987,21015
3407512,11.557495,1.4541373,3.3798718,21015
3497922,4.997848,3.0115712,0.86214685,21015
2575727,15.994804,6.105136,0.6618438,21015
4374413,14.388742,1.5952277,2.952153,21015
5687858,-33.5967,-1.0488904,5.794796,21015
4348244,-29.36424,5.9212837,6.290934,21015
3942509,-29.857964,0.22491121,3.270155,21015
