Subject ID,pca1,pca2,pca3,Dataset
4020673,0.87202996,4.524758,-1.1971118,21015
5083845,5.1603174,1.3048681,-0.62224984,21015
5982005,-11.238714,0.36317894,-0.22694395,21015
4845817,3.1113534,-2.0326762,-1.805538,21015
2558236,1.4560003,-5.814268,1.2644944,21015
4579274,-11.238714,0.36317894,-0.22694395,21015
5599616,1.1858923,1.4503651,-5.293099,21015
1398279,3.668848,0.49036995,-0.26760685,21015
5972919,-5.2664547,4.40585,0.5954167,21015
5117869,2.8860223,-0.4646406,-4.434251,21015
3798293,2.0667908,1.35301,-3.3228862,21015
5956314,5.022327,-3.1279428,-4.1629276,21015
1918336,-8.964203,-0.7432571,-1.127461,21015
2539916,1.5586882,4.2269874,-0.9995419,21015
1895187,0.55734605,-6.0410933,-3.8785138,21015
5817327,5.4888678,-2.5022,-0.85444224,21015
1158953,-11.238714,0.36317894,-0.22694395,21015
2626224,0.074053735,-5.9715323,5.957509,21015
4842060,-3.219431,3.2435024,-0.7773206,21015
3934902,-11.116986,0.104818106,-0.16292126,21015
1127899,0.03968071,-6.9701347,-1.7456226,21015
2194513,-8.789012,2.570517,1.4003096,21015
4959598,-10.585301,0.834458,-0.31269002,21015
4392428,-3.556461,0.3104459,1.3225055,21015
6012470,-0.21256287,7.413524,-0.69654423,21015
1515564,7.5258307,2.0893583,3.1720266,21015
3060655,11.279234,-2.762442,-4.8163795,21015
3006714,-0.34122965,-0.5516461,-0.24908303,21015
5223688,-0.47969368,-2.3814704,-4.9648633,21015
5002357,8.12333,7.0681524,3.8119948,21015
2656324,-9.507807,0.42287982,-0.43108794,21015
4133634,-11.196916,0.36535636,-0.18669717,21015
5100624,-11.238714,0.36317894,-0.22694395,21015
1934186,6.2611885,-1.2418405,-1.595874,21015
1476423,5.5173864,-1.5336354,-5.723373,21015
3011992,-6.242958,-2.1279066,-1.6851224,21015
4030049,8.30939,-2.4237316,1.602644,21015
4462853,-11.183693,0.35205132,-0.17603661,21015
4188008,8.8979,-3.6669888,-1.5994393,21015
4757875,-5.1418376,1.5572565,-2.4209182,21015
1847924,12.735745,-1.9831263,4.216395,21015
3674930,-3.5114386,-0.49792108,-1.3536125,21015
3753540,7.6128187,-6.3277636,0.22420831,21015
1925994,1.5654738,-6.603898,-5.494152,21015
6013885,6.1210494,-0.29470506,-3.6966076,21015
3054850,8.2060995,4.490704,4.2282615,21015
2640157,-10.417312,0.44248813,0.5125919,21015
3771936,2.309275,1.1707996,-1.7496511,21015
2693733,5.92692,-6.7949734,-3.1674438,21015
4064976,-7.4179177,-0.9433562,-0.25488263,21015
1515889,5.348836,7.5599165,4.189041,21015
1461748,-4.5273576,1.7754235,-3.7783809,21015
3488486,-4.699155,-2.3660378,-1.9133013,21015
1685479,-5.759855,-3.6688309,-2.797362,21015
5058465,1.6962056,6.0046554,0.14165658,21015
4109928,0.9332315,-2.736723,-3.8919337,21015
2104613,3.6447537,-5.090075,-1.9063592,21015
3035370,10.9605,-3.2471344,-6.5168147,21015
3369216,6.8559284,-4.845803,-0.8020821,21015
1442830,10.295722,-5.542383,-2.924712,21015
4652857,6.0633035,3.7015924,-6.31771,21015
2202063,-11.201867,0.36726674,-0.15363015,21015
3009825,1.6859913,2.105744,-2.5160882,21015
2076076,-9.387562,-1.4048626,0.9945164,21015
5795253,-4.2738566,-3.1321225,1.2430787,21015
3389224,3.2515035,-6.8561273,-1.980705,21015
5041633,-1.1901069,0.44222614,-4.0834346,21015
3829878,-2.6767874,1.5490938,0.47357652,21015
3693175,0.7101626,-0.6657126,1.1246794,21015
1865760,-8.919537,1.0755602,-1.6912342,21015
2096299,-10.627503,0.21943335,-0.4131526,21015
1141435,-11.238714,0.36317894,-0.22694395,21015
