Subject ID,node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9,node_10,node_11,node_12,node_13,node_14,node_15,node_16,node_17,node_18,node_19,node_20,node_21,node_22,node_23,node_24,node_25,node_26,node_27,node_28,node_29,node_30,node_31,node_32,node_33,node_34,node_35,node_36,node_37,node_38,node_39,node_40,node_41,node_42,node_43,node_44,node_45,node_46,node_47,node_48,Dataset
1027917,0.14343145,0.22656992,0.20338508,0.190612,0.13426183,0.13699837,0.18675062,0.15042554,0.25319025,0.33806616,0.18354289,0.13504077,0.16431095,0.18737462,0.15314151,0.3635192,0.42815948,0.20140804,0.06007395,0.15195005,0.19624197,0.1384602,0.1388345,0.2381445,0.23040421,0.22484867,0.16973993,0.19744039,0.12660165,0.1406192,0.15322451,0.2523758,0.11544398,0.2142216,0.19147937,0.12883711,0.21643484,0.19089141,0.1518204,0.24544838,0.21902898,0.18795435,0.112728365,0.12818232,0.13740517,0.14924303,0.1428303,0.1808702,0.16286108,train
4338490,0.14314814,0.44721657,0.7058148,0.69179344,0.39431426,0.272735,0.18674672,0.12281377,0.47136045,0.6963423,0.7606016,0.36328402,0.3950885,0.244663,0.18147579,0.6703214,1.6861963,1.3738137,0.63216645,0.99895614,0.51187456,0.24418914,0.9801883,1.2544079,1.3485353,0.96060896,0.9426764,0.6706993,0.33228603,0.73428863,1.0619341,1.2951776,0.3132503,0.60975283,0.5001878,0.18526566,0.69375616,1.1061496,1.3762529,0.7306224,0.34142616,0.34257063,0.112335265,0.42492077,0.63917834,0.9609905,0.3916022,0.29993036,0.16893895,train
1755324,0.15208863,0.14978632,0.1448181,0.1260633,0.1260633,0.14066829,0.18675062,0.25691244,0.3409038,0.30190128,0.14408638,0.12699807,0.1485091,0.18737677,0.37400565,0.41963822,0.5087709,0.1577766,0.12699807,0.15531595,0.18737677,0.39794403,0.38304663,0.48916027,0.16893294,0.12699807,0.15531662,0.18737677,0.29026213,0.3285052,0.2876878,0.12806548,0.12700179,0.15493014,0.18737677,0.12876134,0.12708694,0.12968285,0.12696013,0.12584218,0.14586267,0.18737677,0.112728365,0.111218385,0.111218385,0.11123289,0.11139444,0.11153776,0.16285934,train
4933868,0.15100494,0.24473797,0.27074167,0.08279788,0.09460344,0.16878322,0.1958405,0.11734907,0.28460264,0.7373682,1.011533,0.61736983,0.29820925,0.2298732,0.124805555,0.70066196,1.5837394,1.2243719,0.8311133,0.706426,0.31382304,0.451048,0.96163356,0.9080166,0.8531938,0.42911607,0.38135102,0.29120946,0.49589634,0.6751336,0.55264693,0.6538308,0.14134875,0.21638216,0.20182297,0.28796697,0.34709316,0.24689403,0.45211697,0.42107472,0.19275439,0.21911064,0.11259516,0.13265997,0.17811196,0.38032103,0.30600366,0.2494913,0.18677376,train
3577477,0.14345084,0.56486994,0.5712739,0.7676439,0.54573184,0.25905627,0.2161387,0.11896063,1.2497847,2.2634232,2.5635197,1.1947228,0.35167643,0.2465157,0.11073909,1.5095901,2.6514993,1.7709471,0.5460795,0.29991552,0.24474767,0.17191854,1.5422238,1.3681854,1.0398166,0.27431604,0.24630566,0.1898729,0.26720664,0.654635,1.1630554,0.8863317,0.45644876,0.39263707,0.22906502,0.15570715,0.46334988,0.9040341,1.1276387,0.9786712,0.46601722,0.22692232,0.11330806,0.19390495,0.47387454,0.7851024,0.66844404,0.34799692,0.17038743,train
5248303,0.14441733,0.20148082,0.24224873,0.25687844,0.29363936,0.25891373,0.19726162,0.1438092,0.51933324,0.9483391,1.318997,1.0220963,0.32126254,0.20103087,0.2810369,0.51893425,1.5399438,1.0147564,0.67917436,0.5427476,0.21762396,0.2861736,0.4926289,0.89146024,0.73634106,0.6136962,0.43338063,0.20077622,0.35822937,0.53895366,0.5338329,0.49476936,0.22291313,0.3393693,0.20746635,0.12289075,0.1671962,0.08923451,0.50989044,0.13201284,0.15007149,0.2582698,0.11290247,0.11800557,0.21269928,0.16326155,0.17888941,0.1176747,0.16475788,train
2326456,0.14342918,0.13092455,0.2847493,0.43892962,0.30217138,0.17808923,0.18711258,0.11981332,0.41855222,0.5956618,0.58352387,0.47683668,0.23184848,0.19539103,0.20862623,0.7486491,2.361491,1.7056904,0.5412555,0.26893783,0.22181976,0.37136588,1.010958,1.320517,1.104724,0.56784457,0.3304269,0.20989552,0.3317726,0.49676877,0.422592,0.43972185,0.353546,0.27006355,0.18850818,0.358618,0.27450225,0.23010132,0.21421774,0.2623942,0.19025536,0.18760063,0.113194525,0.13126062,0.11212919,0.1409415,0.1487924,0.11110286,0.16285934,train
1413379,0.14911225,0.21053615,0.36428976,0.3619799,0.08375997,0.17814346,0.18675062,0.22137639,0.56182635,1.4532468,0.8730288,0.065968975,0.14599001,0.19005476,0.22203662,0.66338974,0.73612696,0.6824318,0.26594672,0.13537449,0.19160783,0.1581099,0.20061634,0.17679109,0.16994524,0.16935942,0.17159179,0.18890293,0.1192106,0.1278067,0.15301904,0.1325576,0.12177346,0.18476894,0.19617125,0.1192106,0.13296916,0.19433714,0.24685593,0.21146901,0.15115848,0.19133738,0.112728365,0.11307565,0.22663207,0.25430214,0.08742382,0.11868087,0.16330864,train
3788131,0.14957888,0.16380513,0.2531974,0.18218306,0.201021,0.16033652,0.19229911,0.1347743,0.25960585,0.65310436,0.882143,0.4789646,0.19308615,0.18847086,0.16717388,0.41382867,1.4283593,0.87492096,0.7833169,0.3632047,0.18682727,0.17856498,0.4841546,0.6223111,0.84333163,0.66988766,0.38027716,0.19897497,0.30166796,0.5182741,0.48271605,0.40852377,0.29423934,0.29160622,0.22395699,0.19417986,0.23957643,0.148747,0.13825455,0.16771719,0.25766516,0.2638434,0.112728365,0.13147889,0.23892336,0.18296282,0.11067466,0.13198608,0.16291192,train
3673279,0.14512424,0.2748703,0.41272888,0.7113972,0.5937289,0.42813894,0.19447951,0.21426083,0.3432955,1.3926615,1.6672523,0.8205776,0.36430907,0.19441883,0.3332662,0.5900027,1.0309559,0.9439484,0.5638879,0.3492203,0.1883985,0.3859736,0.59138834,0.6787828,0.40309504,0.2684937,0.34598714,0.18381722,0.31736,0.40924215,0.5024112,0.41918853,0.16592853,0.19177277,0.23090042,0.13242689,0.14979522,0.16627951,0.2958829,0.4273031,0.23234479,0.25963143,0.11309169,0.16259696,0.089379676,0.15574993,0.12667508,0.12978736,0.16272654,train
